table_id,feature_id,name,lat,long
507,3051,Maishadi,23.24325177,90.70108718
508,4684,Tarpurchandi,23.24338935,90.67249778
509,279,Baghadi,23.21900885,90.71491918
511,2031,Hanarchar,23.158751,90.64668736
512,1005,Chandra,23.14486382,90.6663401
513,3982,Rajrajeshwar,23.2833042,90.60159576
514,2134,Ibrahimpur,23.21576988,90.64951986
515,375,Balia,23.16674571,90.68428777
518,2672,Khadergaon,23.3643936,90.75068777
519,3412,Narayanpur,23.35228773,90.78838693
523,347,Bakila,23.27117376,90.77999938
533,4312,Satnal,23.46823944,90.59678245
535,4162,Sadullapur,23.4787785,90.64418839
536,1625,Durgapur,23.43341709,90.67941258
537,2437,Kalakanda,23.4158127,90.60107841
538,3248,Mohanpur,23.41311175,90.56432779
539,1650,Eklaspur,23.37990523,90.55962285
540,2212,Jahirabad,23.36696859,90.62309794
543,1675,Farajikandi,23.35626291,90.64850294
544,2161,Islamabad,23.41115307,90.71899291
545,4595,Sultanabad,23.38738633,90.72855562
564,1321,Dalalbazar,22.97692905,90.78251498
565,1121,Charruhita,22.94163905,90.77497506
567,439,Bangakha,22.95271778,90.86991976
568,1373,Dattapara,22.97079862,90.91534912
569,596,Basikpur,23.0034629,90.89074336
575,2873,Laharkandi,22.91791541,90.86084194
582,1085,Charkalkini,22.78252504,90.79617238
584,1102,Char Martin,22.77859267,90.83456862
586,3729,Patarirhat,22.72530667,90.86305637
587,2014,Hajirhat,22.73620396,90.88612349
588,1081,Char Kadira,22.75146054,90.94130909
591,3539,North Char Ababil,23.03058207,90.67806881
592,3540,North Char Bangshi,22.96694185,90.69107372
593,1104,Char Mohana,23.00167331,90.73620087
594,4522,Sonapur,23.00146263,90.76564483
595,1114,Charpata,23.06270791,90.76808841
596,417,Bamni,23.01488144,90.7976745
598,4535,South Char Ababil,23.0303563,90.70152661
601,1116,Char Poragacha,22.68845001,91.00379982
603,1029,Char Abdullah,22.52978899,90.93621083
605,1031,Char Algi,22.67451103,90.93931472
606,1120,Char Ramiz,22.63100553,90.97439042
608,1067,Chargazi,22.59343039,91.00746897
609,2532,Kanchanpur,23.14768177,90.85833777
610,3516,Noagaon,23.1451496,90.88991549
611,700,Bhadur,23.10440085,90.88637183
612,2137,Ichhapur,23.11152032,90.81842443
613,984,Chandipur,23.07787085,90.81875697
614,2913,Lamchar,23.0414902,90.8543315
615,1355,Darbeshpur,23.07086961,90.86713555
616,2588,Karpara,23.03897933,90.88481356
617,789,Bholakot,23.1036347,90.91406185
618,756,Bhatra,23.12687005,90.93567532
619,3955,Rajanagar,22.57081366,92.02854708
620,2122,Hosnabad,22.50381248,92.10418326
623,3685,Parua,22.49180002,92.03817788
625,669,Betagi,22.43042756,91.99518232
629,2771,Kodala,22.42864263,92.10631152
630,2164,Islampur,22.57753112,92.07081595
631,4537,South Rajanagar,22.54036244,92.06674065
632,2904,Lalanagar,22.51689647,92.07042892
633,2824,Kumira,22.51876729,91.72185601
634,462,Banshbaria,22.55130278,91.69767921
635,517,Barabkunda,22.5740028,91.6733496
636,564,Bariadyala,22.66835401,91.63623087
637,3315,Muradpur,22.59967549,91.63555116
